Index of Economic Freedom -- Explore the Data
Source: The Heritage Foundation
http://www.heritage.org/index

Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Moldova,2017,58,49.6,28.6,23.9,86.1,54.8,90.6,65.9,38.9,72,80,55,50
Moldova,2016,57.4,40,35,N/A,85.4,55.6,N/A,64.6,39.3,76,73.6,55,50
Moldova,2015,57.5,40,35,N/A,85.1,51.8,N/A,66.8,40.6,76.1,79.8,50,50
Montenegro,2023,60.9,59.7,41.2,47,88.2,31.7,48.1,67.3,61.6,81.8,79.2,75,50
Montenegro,2022,57.8,61.3,46.4,43,83.9,29.5,11.9,67.1,61.7,85.6,78.8,75,50
Montenegro,2021,63.4,57.8,51,56.2,83.6,35.3,37.2,73.5,78,83.4,79.4,75,50
Montenegro,2020,61.5,59.1,47.5,55.3,85.4,32.1,23.4,70.8,74.8,80.3,83.8,75,50
Montenegro,2019,60.5,55.4,39.5,51.8,85.3,32.6,23.2,73.3,73.4,81.6,84.7,75,50
Montenegro,2018,64.3,54.2,38.1,51.3,85.2,35.7,69.1,72.9,70.9,84.9,84.7,75,50
Montenegro,2017,62,58,43.4,50.4,83.1,33.1,44.3,72,67.4,82.5,84.7,75,50
Montenegro,2016,64.9,40,42,N/A,91.6,39.8,N/A,76.6,72,82.6,84.8,70,50
Montenegro,2015,64.7,40,44,N/A,92.6,36.7,N/A,77.1,77.5,79.7,84.8,65,50
Netherlands,2023,78,95.6,96.6,91,51,37.9,90.8,84.4,59.3,80.2,78.6,90,80
Netherlands,2022,79.5,96.2,92.3,96.9,51.2,45.4,93.6,88.1,58.9,82.1,79.2,90,80
Netherlands,2021,76.8,88.9,90.6,72.8,51.7,47.7,95.3,80.5,60.1,80.4,84,90,80
Netherlands,2020,77,90,90.1,73.9,51.7,45.2,94.1,80.4,60.2,82.5,86.4,90,80
Netherlands,2019,76.8,88,89.1,74.7,51.6,42.9,93.3,81.4,60.3,84,86,90,80
Netherlands,2018,76.2,87.9,86,74.1,52.5,39.1,88.2,80.5,61.5,87.5,86.9,90,80
Netherlands,2017,75.8,87.4,85.7,69.9,53.2,37,83,80.2,70.5,85.8,87,90,80
Netherlands,2016,74.6,90,83,N/A,52.7,34.4,N/A,80,64,83.4,88,90,80
Netherlands,2015,73.7,90,83,N/A,51.8,23.8,N/A,84.3,66.3,79.8,88,90,80
North Macedonia,2023,63.7,58.9,50.5,40.1,95,63.9,51.4,74.1,52.7,75,77.8,65,60
North Macedonia,2022,65.7,57.4,38.7,50.2,95,67.7,69.8,74.4,54.1,78.3,77.8,65,60
North Macedonia,2021,68.6,62.6,41.9,40.4,94.9,71,87.8,77.8,65.2,78.7,77.4,65,60
North Macedonia,2020,69.5,62.5,42.2,42.7,91.5,71,87.7,80.6,67,77.7,86.2,65,60
North Macedonia,2019,71.1,65.1,44.7,60.7,91.8,70,82.9,80.2,71.5,78.7,82,65,60
North Macedonia,2018,71.3,64.8,47.4,57,91.6,70.3,78.1,82.9,69,81.8,87.8,65,60
North Macedonia,2017,70.7,67,52,61.4,91.9,68.9,72.6,81.5,66.7,80.8,86.1,60,60
North Macedonia,2016,67.5,35,45,N/A,92.1,69.6,N/A,76.4,66.7,83.5,86.4,60,60
North Macedonia,2015,67.1,35,44,N/A,91.4,65.6,N/A,79.2,70.7,79,86.2,60,60
Norway,2023,76.9,98.9,97.2,96.2,57.4,18.7,96.2,95.2,69.2,74.4,84.6,75,60
Norway,2022,76.9,99.6,96,97.3,56.4,19.5,96.6,91.4,68.8,76.9,85.4,75,60
Norway,2021,73.4,82.4,95.8,86.3,57.1,25.3,96.6,85.5,57.8,75.4,84,75,60
Norway,2020,73.4,84.3,95.6,82.8,57.7,25.6,97.3,86.1,57.4,74.8,83.8,75,60
Norway,2019,73,86.1,92.3,81.2,57.4,25.3,97.3,89.4,53.7,75.4,83.2,75,60
Norway,2018,74.3,86.4,93.6,86,56.4,29.2,97.8,90.4,54.6,73.9,87.9,75,60
Norway,2017,74,86.7,88.3,83.3,55.6,38.5,98.4,89.5,48.8,75.8,87.7,75,60
Norway,2016,70.8,90,86,N/A,53.2,41.8,N/A,89.6,48.5,76.2,87.8,75,60
Norway,2015,71.8,90,86,N/A,52.1,43.8,N/A,92.1,48.2,81.7,89.4,75,60
Poland,2023,67.7,72.7,52.7,60.2,73.2,40,78.1,74.8,55.4,76.7,78.6,80,70
Poland,2022,68.7,72.3,60.6,54.7,73.6,41.9,78.3,78.7,55.7,79.1,79.2,80,70
Poland,2021,69.7,63.3,65,48.9,73.9,48.1,94.6,61.6,66.1,80.8,84,80,70
Poland,2020,69.1,63.1,64.6,42.8,74.7,48.8,92.2,62.6,62,82,86.4,80,70
Poland,2019,67.8,62.3,49.8,44,74.9,48.8,86.4,65.4,63.9,82.1,86,80,70
Poland,2018,68.5,61.8,50.9,56.6,75.9,47.8,81.5,67.2,63.9,85,86.9,75,70
Poland,2017,68.3,60.8,55.5,58,76,46.9,76.1,67.8,61.5,84.7,87,75,70
Poland,2016,69.3,65,61,N/A,75.5,46.5,N/A,68.7,58,85.2,88,75,70
Poland,2015,68.6,60,60,N/A,82.1,47.1,N/A,67.3,60.4,81.3,88,70,70
Portugal,2023,69.5,89.9,90.7,67,60.5,34.7,67,76.2,55.1,84.8,78.6,70,60
Portugal,2022,70.8,89.9,67.8,92.1,60.4,39.5,72.8,76.2,55.5,86.8,79.2,70,60
Portugal,2021,67.5,74.1,68.2,68.5,60,42.4,78.2,75.9,44.1,85,84,70,60
Portugal,2020,67,75.4,68.9,65.6,59.6,39.8,74.4,76.5,44.1,83,86.4,70,60
Portugal,2019,65.3,71.5,59.5,64.3,59.9,35.6,69.8,79.7,44.3,83,86,70,60
Portugal,2018,63.4,69.2,56.8,70.1,59.8,29.8,46,83.2,44.1,85.3,86.9,70,60
Portugal,2017,62.6,73.3,59,68.9,59.8,25.1,32.1,86.4,43.4,85.9,87,70,60
Portugal,2016,65.1,70,63,N/A,60.5,24.8,N/A,85.3,43.5,85.7,88,70,60
Portugal,2015,65.3,70,62,N/A,61.1,28.8,N/A,87.5,42.9,82.8,88,70,60
Romania,2023,64.5,81,64.9,47.2,94.4,59.7,14.7,71.3,65.1,76.8,78.6,70,50
Romania,2022,67.1,81,45.4,64.8,94.3,63.9,42.8,71.4,64.1,78.8,79.2,70,50
Romania,2021,69.5,68.8,54.6,63.1,94.3,69.2,78.9,59.7,63.6,77.7,84,70,50
Romania,2020,69.7,72.5,55.1,56.1,90.3,70.4,85.6,58.6,63,78.1,86.4,70,50
Romania,2019,68.6,66.7,39.8,51.9,89.7,69,89.3,63.1,64.5,82.7,86,70,50
Romania,2018,69.4,61,40,59.7,87.3,66.9,91.1,65.2,66.8,82.8,86.9,75,50
Romania,2017,69.7,63.9,45.9,58.5,87.4,65.3,90.9,65.9,62.5,83.6,87,75,50
Romania,2016,65.6,35,43,N/A,87.5,65.6,N/A,66.1,65.1,81.1,88,75,50
Romania,2015,66.6,40,43,N/A,86.9,62.3,N/A,69.8,68.6,77.3,88,80,50
Russia,2023,53.8,30.6,32.9,28,88.3,60.4,99.1,54.8,57.7,64.9,69.4,30,30
Russia,2022,56.1,36.8,29.7,34.7,93.1,62.6,99.3,62.5,57.3,68,69,30,30
Russia,2021,61.5,54.4,41.7,42.4,93,66.1,99.6,84.1,55.4,67.3,74,30,30
Russia,2020,61,56.8,41.3,44.4,88.5,63.8,98.7,80.2,52.1,68.2,77.8,30,30
Russia,2019,58.9,52.4,36.6,45.1,89.4,62.3,86.6,78.4,52.5,65.1,77.8,30,30
Russia,2018,58.2,48.7,38.1,46.9,85.8,62.5,87.7,77,52,60.8,79.4,30,30
Russia,2017,57.1,47.6,38.2,44.5,81.8,61.5,93.4,74.8,50.8,57.3,75.2,30,30
Russia,2016,50.6,20,27,N/A,82.2,56.2,N/A,72.2,57.6,62.9,72.4,25,30
Russia,2015,52.1,20,28,N/A,86.1,57.8,N/A,76.3,58.9,63.9,75,25,30
Serbia,2023,63.5,58.7,50,37.8,87.9,37.6,73.5,74.3,68.1,78.6,76,70,50
Serbia,2022,65.2,58.8,37.9,50.4,90.9,42.5,85.7,74.4,62.9,81.6,77,70,50
Serbia,2021,67.2,57.9,45,50.6,92.5,49.6,94.6,71,67.3,81.1,77.2,70,50
Serbia,2020,66,55.4,44,46.8,83.7,49.7,94.1,72.6,66.9,80.7,78,70,50
Serbia,2019,63.9,50.1,37.2,44.8,82,45.1,90.1,72.9,67.4,80,77,70,50
Serbia,2018,62.5,46.2,36.5,48.2,83.5,40.6,67,68.3,69.2,82.9,87.4,70,50
Serbia,2017,58.9,50.3,38.2,40.2,83.3,40.3,46.9,62.9,65.9,80.8,77.8,70,50
Serbia,2016,62.1,50,41,N/A,84.3,44.1,N/A,60.2,66.2,77.5,77.8,70,50
Serbia,2015,60,45,42,N/A,82.4,27.1,N/A,57.8,70.4,72.2,78.2,75,50
Slovakia,2023,69,84.2,70.6,56.8,77.3,41.2,62.4,72.2,64.7,74.8,78.6,75,70
Slovakia,2022,69.7,83.2,53.7,71.9,77.3,41.8,76,75.9,56.5,75.5,79.2,75,70
Slovakia,2021,66.3,71.5,48.8,44.4,78.4,47,93.4,55.6,52.2,74.8,84,75,70
Slovakia,2020,66.8,73.1,49.7,41.7,78.5,50.2,92.6,55.3,52.6,75.9,86.4,75,70
Slovakia,2019,65,68.5,37.7,37.2,78.6,46.1,87.2,61.3,53.4,78.6,86,75,70
Slovakia,2018,65.3,68.2,38.2,38.8,78.9,44.3,84.9,63.9,54,81,86.9,75,70
Slovakia,2017,65.7,69,39.6,38,79.7,47.2,82.9,64.9,54.4,81.1,87,75,70
Slovakia,2016,66.6,50,50,N/A,80.1,49.5,N/A,68.4,55,79.5,88,75,70
Slovakia,2015,67.2,50,47,N/A,80.8,55.1,N/A,69.6,56.5,75.5,88,80,70
Slovenia,2023,68.5,88.6,83.3,64.6,62.6,31.5,60.4,75.9,74.4,82.4,78.6,70,50
Slovenia,2022,70.5,89.7,66.7,91.6,57.2,36.4,77.4,79.7,63.3,85.1,79.2,70,50
Slovenia,2021,68.3,77.3,68.2,56.3,58.2,42.5,91.1,78.8,61.5,81.9,84,70,50
Slovenia,2020,67.8,76.5,67.4,48.6,59.2,42.9,90.3,78.4,61.4,82.2,86.4,70,50
Slovenia,2019,65.5,76.4,53.6,46.5,58.4,38.3,82.6,79.3,61.2,83.6,86,70,50
Slovenia,2018,64.8,76.6,52.1,57.7,58.7,31.2,66.3,79.5,61.3,87.3,86.9,70,50
Slovenia,2017,59.2,75,53.6,55.1,58.7,28.6,6.1,80.6,60.2,85.3,87,70,50
Slovenia,2016,60.6,60,58,N/A,58.6,0,N/A,82,55.4,84.3,88,70,50
Slovenia,2015,60.3,60,57,N/A,58.1,0,N/A,81.2,57.1,81.3,88,70,50
Spain,2023,65,87.2,73.1,66.9,58.2,30.2,7.4,75.2,62.1,80.6,83.6,85,70
Spain,2022,68.2,87.7,67.2,74.3,59.7,38.3,29.7,75.2,61.8,85.4,84.2,85,70
Spain,2021,69.9,76.4,70.3,65.4,61.7,48.1,69.8,66.3,57.9,83.5,84,85,70
Spain,2020,66.9,74.9,55.1,51.8,62.1,48.3,62.6,66.8,57.7,82,86.4,85,70
Spain,2019,65.7,72.9,51.9,51.4,62.3,46.2,51.1,66.8,57.8,87.5,86,85,70
Spain,2018,65.1,73.1,51.5,62,62,42.8,36.1,66.3,59,86.7,86.9,85,70
Spain,2017,63.6,71.2,57.2,53.9,62.5,41.4,26.9,66.9,55.3,85.5,87,85,70
Spain,2016,68.5,70,60,N/A,58.3,41.1,N/A,76,51.7,84.7,88,85,70
Spain,2015,67.6,70,59,N/A,53.1,39.8,N/A,77.5,52.6,81.3,88,85,70
Sweden,2023,77.5,96.6,95.6,95.7,45.1,26.2,96.2,84.6,65.9,80.9,78.6,85,80
Sweden,2022,77.9,97.3,95.7,97.1,44.9,26.4,95.8,84.6,65.4,83.6,79.2,85,80
Sweden,2021,74.7,86.6,92.5,79.1,43.6,29.5,97.6,83.2,53.9,81.5,84,85,80
Sweden,2020,74.9,88.8,91.4,79.9,43.6,25.8,97,85.3,53.8,81.2,86.4,85,80
Sweden,2019,75.2,89.5,88,84,43.2,26.7,96.6,88,53.9,82,86,85,80
Sweden,2018,76.3,92.6,92.9,88.2,43.9,23.2,96.1,89.3,53.7,83.8,86.9,85,80
Sweden,2017,74.9,88.6,87.4,82.2,44.4,21.7,93.4,90.8,53.2,85.3,87,85,80
Sweden,2016,72,90,87,N/A,44.4,14.9,N/A,89.7,53.5,87.1,88,85,80
Sweden,2015,72.7,90,89,N/A,43,19.2,N/A,87.9,54,85.5,88,90,80
Switzerland,2023,83.8,94.2,97.8,92.3,70.6,63.9,95.4,84.3,60.5,85.1,86.6,85,90
Switzerland,2022,84.2,95.2,92.3,98,70.1,67.2,96.3,84.3,60,84.9,86.6,85,90
Switzerland,2021,81.9,85.4,87.9,82.2,70.4,67.6,96.9,73.6,72.5,85.4,86,85,90
Switzerland,2020,82,87.4,90.1,81.5,70.1,65.3,96.7,74.2,72.4,84.4,86.6,85,90
Switzerland,2019,81.9,85.3,88,82,70.5,64.8,96.3,75.4,72.5,85.2,87.4,85,90
Switzerland,2018,81.7,84.2,82.8,82.1,70.5,65.4,95.9,75.7,73.9,85.2,90,85,90
Switzerland,2017,81.5,86.9,80.3,77.6,70.9,67.5,95.8,76.8,72.2,84.4,90,85,90
Switzerland,2016,81,90,86,N/A,70.9,66.3,N/A,82.2,72.1,87.8,90,85,80
Switzerland,2015,80.5,90,85,N/A,70.3,65.1,N/A,78.1,75.3,86.3,90,85,80
Türkiye,2023,56.9,40.8,24.2,37.1,73,66.1,63,59.7,54.9,58.6,75.8,70,60
Türkiye,2022,56.9,42,39.4,25.6,74.7,63.8,59.2,63.4,47.1,61.9,75.6,70,60
Türkiye,2021,64,61.5,45.4,58.6,73.2,64.5,75.8,68.5,48.8,65.4,76,70,60
Türkiye,2020,64.4,57.4,44.6,53.7,76.7,64.1,86.1,67,49.2,66.1,78,70,60
Türkiye,2019,64.6,55.8,41.2,49.8,76.4,65.1,92.2,66,49.2,70,79.6,70,60
Türkiye,2018,65.4,54.7,42,54.5,74.7,68.1,93.6,63.3,47.6,72.3,78.6,75,60
Türkiye,2017,65.2,61.3,40.7,52.5,75.5,57.7,95.7,64.3,48.5,72.2,79.4,75,60
Türkiye,2016,62.1,40,45,N/A,75.2,55.6,N/A,65.4,48.6,71.5,84.4,75,60
Türkiye,2015,63.2,45,50,N/A,76.1,57.6,N/A,61,50.2,72.4,84.6,75,60
Ukraine,2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NaN,N/A,N/A,N/A,N/A
Ukraine,2022,54.1,39.7,33.8,31.4,89.1,44.5,73.6,61.1,60.7,71.2,78.6,35,30
Ukraine,2021,56.2,48.5,37.9,41.1,88.7,48.2,87.7,63.5,48.7,65.8,79.2,35,30
Ukraine,2020,54.9,47.5,37.9,42.2,81.1,47.2,83.9,61.3,48.3,63,81.2,35,30
Ukraine,2019,52.3,43.9,29.6,31.5,81.8,46.9,82.6,66.1,46.7,58.6,75,35,30
Ukraine,2018,51.9,41,29,29.5,80.2,45,75.9,62.7,52.8,60.1,81.1,35,30
Ukraine,2017,48.1,41.4,29.2,22.6,78.6,38.2,67.9,62.1,48.8,47.4,85.9,25,30
Ukraine,2016,46.8,25,26,N/A,78.6,30.6,N/A,56.8,47.9,66.9,85.8,20,30
Ukraine,2015,46.9,20,25,N/A,78.7,28,N/A,59.3,48.2,78.6,85.8,15,30
United Kingdom,2023,69.9,95.1,84.8,86.4,65.4,41.9,1.8,79.1,62.2,80.8,81.8,80,80
United Kingdom,2022,72.7,96.2,87.1,85.9,65.4,46.3,22.6,79.1,62.1,83,84.2,80,80
United Kingdom,2021,78.4,87.6,86.5,76.7,64.9,54.8,77.3,94.4,73.2,81,84,80,80
United Kingdom,2020,79.3,92.2,89.9,82.7,64.7,49.5,78.1,94.7,73.1,80.3,86.4,80,80
United Kingdom,2019,78.9,92.3,83.8,85.9,64.7,48.2,68.6,92.9,73.5,81.2,86,90,80
United Kingdom,2018,78,92.2,79,93.8,65.2,44.4,53.5,91.1,74.4,85.2,86.9,90,80
United Kingdom,2017,76.4,93.8,78.3,93,65.1,41.9,40.4,89.9,72.8,85,87,90,80
United Kingdom,2016,76.4,90,78,N/A,64.9,39,N/A,86,71.8,76.4,88,90,80
United Kingdom,2015,75.8,90,76,N/A,62.9,30.3,N/A,91.1,75.6,74.4,88,90,80
